Ledger_Number,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
62765495,37,12.0,15.945945945945946,150,12,590
62768495,40,12.0,12.0,12,12,480
62771495,22,12.0,24.59090909090909,150,10,541
62774495,43,12.0,12.0,12,12,516
62777495,49,12.0,19.06122448979592,220,12,934
62780495,44,12.0,19.113636363636363,184,12,841
62783495,37,12.0,12.0,20,10,444
62786495,48,12.0,12.083333333333334,20,10,580
62789495,21,12.0,262.04761904761904,5129,10,5503
62792495,53,12.0,11.962264150943396,20,10,634
62795495,43,12.0,12.0,12,12,516
62798495,38,12.0,13.31578947368421,66,11,506
62801495,61,12.0,13.147540983606557,74,12,802
62804495,48,12.0,11.875,12,10,570
62807495,45,12.0,11.466666666666667,12,10,516
62810495,48,12.0,14.875,150,12,714
62813495,48,12.0,12.166666666666666,20,12,584
62816495,91,12.0,11.538461538461538,20,10,1050
62819495,81,12.0,12.91358024691358,150,10,1046
62822495,24,12.0,12.0,12,12,288
62825495,33,12.0,12.0,12,12,396
62828495,35,12.0,11.885714285714286,12,10,416
62831495,51,12.0,12.0,12,12,612
62834495,34,12.0,17.558823529411764,201,12,597
62837495,28,12.0,190.14285714285714,5000,12,5324
62840495,34,12.0,12.0,12,12,408
62843495,27,12.0,12.0,12,12,324
62846495,26,12.0,588.7692307692307,15000,12,15308
62849495,42,12.0,11.952380952380953,15,10,502
62852495,37,12.0,11.945945945945946,12,10,442
62855495,59,12.0,1413.0,7813,10,83367
62858495,70,12.0,15.585714285714285,150,10,1091
62861495,34,12.0,11.764705882352942,12,10,400
62864495,52,12.0,206.34615384615384,10000,10,10730
62867495,42,12.0,876.1190476190476,6272,12,36797
62870495,40,12.0,12.0,12,12,480
62873495,36,12.0,610.6111111111111,5483,10,21982
62876495,52,12.0,131.57692307692307,6104,10,6842
62879495,56,12.0,458.69642857142856,6173,10,25687
62882495,41,12.0,12.0,12,12,492
62885495,50,12.0,11.96,12,10,598
62888495,43,12.0,12.0,12,12,516
62891495,28,12.0,12.0,12,12,336
62894495,57,12.0,23.614035087719298,150,10,1346
62897495,56,12.0,551.5892857142857,10000,12,30889
62900495,37,12.0,15.72972972972973,150,12,582
62903495,43,12.0,12.0,12,12,516
62906495,26,12.0,22.53846153846154,150,11,586
62909495,31,12.0,12.0,12,12,372
62912495,55,12.0,11.89090909090909,12,10,654
62915495,20,12.0,13.15,27,12,263
62918495,36,12.0,11.86111111111111,15,10,427
62921495,31,12.0,107.48387096774194,2692,11,3332
62924495,53,12.0,14.60377358490566,150,12,774
62927495,33,12.0,11.757575757575758,12,10,388
62930495,48,12.0,222.77083333333334,10000,10,10693
62933495,40,12.0,47.125,1000,12,1885
62936495,73,12.0,572.2739726027397,5093,10,41776
62939495,36,12.0,12.0,12,12,432
62942495,77,12.0,15.168831168831169,150,10,1168
62945495,37,12.0,23.37837837837838,150,11,865
62948495,31,12.0,1606.3870967741937,6847,10,49798
62951495,33,12.0,12.0,12,12,396
62954495,56,12.0,14.535714285714286,150,10,814
62957495,48,12.0,11.9375,20,10,573
62960495,52,12.0,517.4615384615385,5457,10,26908
62963495,46,12.0,18.891304347826086,193,10,869
62966495,27,12.0,11.851851851851851,12,10,320
62969495,36,12.0,15.833333333333334,150,12,570
62972495,34,12.0,12.235294117647058,20,12,416
62975495,32,12.0,20.84375,150,11,667
62978495,40,12.0,427.4,15002,12,17096
62981495,27,12.0,54.111111111111114,1000,12,1461
62984495,10,12.0,11.5,12,10,115
62987495,42,12.0,13.714285714285714,86,10,576
62990495,32,12.0,12.1875,30,10,390
62993495,34,12.0,18.764705882352942,250,10,638
62996495,30,12.0,25.8,150,12,774
62999495,37,12.0,904.2972972972973,5808,12,33459
63002495,44,12.0,302.97727272727275,6387,10,13331
63005495,38,12.0,182.8684210526316,6087,10,6949
63008495,46,12.0,12.891304347826088,50,10,593
63011495,38,12.0,15.631578947368421,150,12,594
63014495,59,12.0,11.76271186440678,12,10,694
63017495,51,12.0,14.509803921568627,150,10,740
63020495,40,12.0,11.925,12,10,477
63023495,41,12.0,15.365853658536585,150,12,630
63026495,37,12.0,11.72972972972973,12,10,434
63029495,37,12.0,15.405405405405405,150,10,570
63032495,43,12.0,11.976744186046512,20,10,515
63035495,41,12.0,22.170731707317074,150,12,909
63038495,35,12.0,15.657142857142857,150,10,548
63041495,24,12.0,17.75,150,12,426
63044495,30,12.0,482.43333333333334,10158,12,14473
63047495,37,12.0,1796.972972972973,10000,10,66488
63050495,47,12.0,1077.5744680851064,7706,10,50646
63053495,34,12.0,11.764705882352942,12,10,400
63056495,34,12.0,12.0,12,12,408
63059495,24,12.0,19.458333333333332,150,11,467
63062495,51,12.0,17.215686274509803,150,10,878
63065495,36,12.0,11.88888888888889,12,10,428
63068495,32,12.0,16.3125,150,12,522
63071495,44,12.0,12.0,12,12,528
63074495,41,12.0,11.658536585365853,12,10,478
63077495,39,12.0,74.6923076923077,1000,12,2913
63080495,51,12.0,780.5686274509804,5900,12,39809
63083495,43,12.0,255.30232558139534,5357,10,10978
63086495,31,12.0,553.741935483871,6485,10,17166
63089495,53,12.0,14.471698113207546,150,10,767
63092495,56,12.0,490.3392857142857,5367,10,27459
63095495,46,12.0,42.26086956521739,177,12,1944
63098495,34,12.0,15.588235294117647,73,12,530
63101495,39,12.0,11.948717948717949,12,11,466
63104495,43,12.0,715.1162790697674,10000,10,30750
63107495,46,12.0,15.0,150,12,690
63110495,43,12.0,23.767441860465116,150,10,1022
63113495,28,12.0,22.178571428571427,161,10,621
63116495,45,12.0,11.955555555555556,12,10,538
63119495,23,12.0,368.3478260869565,8074,10,8472
63122495,42,12.0,12.0,12,12,504
63125495,48,12.0,14.5,150,10,696
63128495,29,12.0,12.0,12,12,348
63131495,25,12.0,12.32,20,12,308
63134495,22,12.0,407.22727272727275,5488,10,8959
63137495,46,12.0,177.7608695652174,6149,12,8177
63140495,63,12.0,20.666666666666668,150,11,1302
63143495,28,12.0,12.0,12,12,336
63146495,38,12.0,183.78947368421052,6112,10,6984
63149495,43,12.0,2713.3953488372094,100001,11,116676
63152495,42,12.0,12.0,12,12,504
63155495,41,12.0,15.365853658536585,150,12,630
63158495,32,12.0,203.625,6144,12,6516
63161495,44,12.0,26.65909090909091,150,12,1173
63164495,33,12.0,16.181818181818183,150,12,534
63167495,44,12.0,167.04545454545453,6461,12,7350
63170495,31,12.0,16.70967741935484,150,12,518
63173495,52,12.0,413.0192307692308,5367,10,21477
63176495,27,12.0,280.3703703703704,6134,10,7570
63179495,24,12.0,17.75,150,12,426
63182495,40,12.0,12.0,12,12,480
63185495,49,12.0,23.142857142857142,150,10,1134
63188495,42,12.0,15.476190476190476,150,12,650
63191495,29,12.0,1363.9310344827586,5962,10,39554
63194495,28,12.0,382.85714285714283,5204,12,10720
63197495,37,12.0,11.891891891891891,12,10,440
63200495,32,12.0,12.0,12,12,384
63203495,16,12.0,338.6875,5239,12,5419
63206495,41,12.0,12.0,12,12,492
63209495,28,12.0,11.857142857142858,12,10,332
63212495,29,12.0,224.13793103448276,6161,12,6500
63215495,32,12.0,12.0,12,12,384
