Ledger_Number,Ledger_Date,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
89928995,2024-08-09T00:30:01.000Z,39,10.0,424.38461538461536,5314.0,10.0,16551.0
89929495,2024-08-09T01:02:32.000Z,27,10.0,627.2962962962963,5812.0,10.0,16937.0
89929995,2024-08-09T01:34:51.000Z,33,11.0,12.242424242424242,20.0,10.0,404.0
89930495,2024-08-09T02:07:20.000Z,23,10.0,12.652173913043478,20.0,10.0,291.0
89930995,2024-08-09T02:39:40.000Z,27,12.0,20.925925925925927,221.0,10.0,565.0
89931495,2024-08-09T03:12:01.000Z,18,12.0,14.555555555555555,20.0,10.0,262.0
89931995,2024-08-09T03:44:12.000Z,39,10.0,12.256410256410257,20.0,10.0,478.0
89932495,2024-08-09T04:16:32.000Z,19,20.0,16.05263157894737,23.0,10.0,305.0
89932995,2024-08-09T04:48:42.000Z,17,12.0,14.117647058823529,20.0,10.0,240.0
89933495,2024-08-09T05:21:02.000Z,33,10.0,12.757575757575758,32.0,10.0,421.0
89933995,2024-08-09T05:53:10.000Z,20,15.0,15.6,20.0,10.0,312.0
89934495,2024-08-09T06:25:21.000Z,41,10.0,17.26829268292683,150.0,10.0,708.0
89934995,2024-08-09T06:57:31.000Z,29,10.0,13.586206896551724,34.0,10.0,394.0
89935495,2024-08-09T07:29:50.000Z,47,10.0,12.851063829787234,62.0,10.0,604.0
89935995,2024-08-09T08:02:10.000Z,45,10.0,15.777777777777779,150.0,10.0,710.0
89936495,2024-08-09T08:34:20.000Z,40,10.0,11.65,20.0,10.0,466.0
89936995,2024-08-09T09:06:40.000Z,26,15.0,15.192307692307692,29.0,10.0,395.0
89937495,2024-08-09T09:38:51.000Z,41,12.0,13.951219512195122,59.0,10.0,572.0
89937995,2024-08-09T10:11:11.000Z,17,10.0,13.647058823529411,22.0,10.0,232.0
89938495,2024-08-09T10:43:31.000Z,26,10.0,21.653846153846153,221.0,10.0,563.0
89938995,2024-08-09T11:15:51.000Z,20,10.0,13.25,25.0,10.0,265.0
89939495,2024-08-09T11:48:10.000Z,10,20.0,18.2,20.0,12.0,182.0
89939995,2024-08-09T12:20:12.000Z,23,12.0,13.304347826086957,20.0,10.0,306.0
89940495,2024-08-09T12:52:32.000Z,36,12.0,20.38888888888889,150.0,10.0,734.0
89940995,2024-08-09T13:25:01.000Z,29,10.0,17.06896551724138,150.0,10.0,495.0
89941495,2024-08-09T13:57:30.000Z,18,13.5,15.166666666666666,20.0,12.0,273.0
89941995,2024-08-09T14:29:50.000Z,32,10.0,21.21875,150.0,10.0,679.0
89942495,2024-08-09T15:02:11.000Z,26,10.0,12.26923076923077,20.0,10.0,319.0
89942995,2024-08-09T15:34:30.000Z,21,12.0,13.523809523809524,20.0,10.0,284.0
89943495,2024-08-09T16:06:31.000Z,43,10.0,15.395348837209303,150.0,10.0,662.0
89943995,2024-08-09T16:39:11.000Z,23,12.0,13.695652173913043,20.0,10.0,315.0
89944495,2024-08-09T17:11:30.000Z,30,10.0,12.2,20.0,10.0,366.0
89944995,2024-08-09T17:43:50.000Z,26,10.0,12.615384615384615,20.0,10.0,328.0
89945495,2024-08-09T18:16:11.000Z,37,10.0,13.297297297297296,40.0,10.0,492.0
89945995,2024-08-09T18:48:31.000Z,33,10.0,12.666666666666666,20.0,10.0,418.0
89946495,2024-08-09T19:20:52.000Z,29,10.0,12.068965517241379,20.0,10.0,350.0
89946995,2024-08-09T19:53:02.000Z,16,15.0,16.0625,20.0,10.0,257.0
89947495,2024-08-09T20:25:20.000Z,29,10.0,12.137931034482758,20.0,10.0,352.0
89947995,2024-08-09T20:57:31.000Z,24,12.0,19.583333333333332,92.0,10.0,470.0
89948495,2024-08-09T21:37:01.000Z,19,12.0,14.368421052631579,20.0,10.0,273.0
89948995,2024-08-09T22:09:30.000Z,33,10.0,16.484848484848484,150.0,10.0,544.0
89949495,2024-08-09T22:42:01.000Z,12,13.5,14.916666666666666,20.0,10.0,179.0
89949995,2024-08-09T23:14:20.000Z,24,12.0,13.083333333333334,20.0,10.0,314.0
