Ledger_Number,Transaction_Hash,Transaction_Fee,Account_ID,Gets_Currency_Code,Gets_Count,Gets_Currency_Issuer,Pays_Currency_Code,Pays_Count,Pays_Currency_Issuer,Error
92399495,A1A8813A0B45ABD1FC310508D52F8B344EC044EF0155D302A40AE129C38DB4CA,10,rhubarbMVC2nzASf3qSGQcUKtLnAzqcBjp,BTC,0.0000001825657750655677,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,434F524500000000000000000000000000000000,0.05844375734558351,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,
92399495,D03F9893F47F88D09735151E60701E5A7B72D40783BC1836CF34FBE355F4AC8A,10,rhubarbMVC2nzASf3qSGQcUKtLnAzqcBjp,434F524500000000000000000000000000000000,0.05903409832887223,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,XRP,11745,,
92399495,B971DCA8ACA36CC3CA8705E2796C5CDE9AA38510A998B90C3DC80755ABA6F6E8,20,rsoLoDTcxn9wCEHHBR7enMhzQMThkB2w28,XRP,90000000,,534F4C4F00000000000000000000000000000000,211.316779329645,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz,
92399495,617C4A734044A7A54997655F6A3F3DAA7CC6EA7D7B1CA5BE24A6F2C4D6B61F90,221,r2ZmzyuyDMF6PkywZ8BbMYYe7AvvVYZdA,ETH,0.799,rcA8X3TVMST1n3CJeAdGk1RdRCHii7N2h,XRP,2000000000,,
92399495,C8E526E17C150451DEE69C7A057AAB19AAA02459A049337A74736A5E5E376C0A,10,rpR7nRbEqd3nBpT9zxEWEBCATqAwjnBH3r,XRP,110140938,,534F4C4F00000000000000000000000000000000,258.6067223986424,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz,
92399495,9882141CF8042B9797E9DE6FDF9E01D442246EBFDCDDFEA2DBAE99ADBF4DBC97,20,rBTwLga3i2gz3doX6Gva3MgEV8ZCD8jjah,XRP,24163000000,,5553444300000000000000000000000000000000,35817.344746264,rcEGREd8NmkKRE8GE424sksyt1tJVFZwu,
92399495,92CC2D0C65844676069BF7E655C633570383DAF48DFFC8652786C790B467E752,20,rBTwLga3i2gz3doX6Gva3MgEV8ZCD8jjah,5553445400000000000000000000000000000000,284000.152,rcvxE9PS9YBwxtGg1qNeewV6ZB3wGubZq,XRP,200000000000,,
92399495,2F05E319403CD2E3BB7C8DFBDC05F4E37A15D8FD15CB94F776506EFDA33729B7,20,rBTwLga3i2gz3doX6Gva3MgEV8ZCD8jjah,XRP,24163000000,,5553445400000000000000000000000000000000,35854.142772268,rcvxE9PS9YBwxtGg1qNeewV6ZB3wGubZq,
92399495,3AD20AC63E63DFB9A9F3CCA8802FC17E81F137E3638EF58766466A94CE94BF6E,20,rBTwLga3i2gz3doX6Gva3MgEV8ZCD8jjah,USD,285685.7514,rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B,XRP,200000000000,,
92399495,0DE70C0D488FC16AD818A741C15D9007C93AFAFB03036001C38A472F13A73FFE,10,rfzNJuRRefHJmuPJgpXffj8YuE4zPg7sX7,XRP,10000000,,585250696B610000000000000000000000000000,3027.1760232967,rUH9DFVrACQfvKRk6j96FbjVwgWZFWpnLA,
